Date: 20.2.2020 , In use by: Mena
Daytime: 8:37:18, Temperature: 24°C
ID, strain1, strain2, temp [°C], runtime [ms]
Date: 20.2.2020 , In use by: Mena
Daytime: 8:37:25, Temperature: 24°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
RECORDING Time: 8:37:27
1, 8392870.00, 0.00, 8388608.00,24, 0
2, 8392616.00, 0.00, 8388608.00,24, 0
3, 8392574.00, 0.00, 8388608.00,24, 92
4, 8392477.00, 0.00, 8388608.00,24, 185
5, 8392175.00, 0.00, 8388608.00,24, 278
6, 8391913.00, 0.00, 8388608.00,24, 371
7, 8391533.00, 0.00, 8388608.00,24, 464
8, 8391390.00, 0.00, 8388608.00,24, 557
9, 8391113.00, 0.00, 8388608.00,24, 650
10, 8390919.00, 0.00, 8388608.00,24, 743
11, 8390654.00, 0.00, 8388608.00,24, 836
12, 8390225.00, 0.00, 8388608.00,24, 929
13, 8389934.00, 0.00, 8388608.00,24, 1021
14, 8389811.00, 0.00, 8388608.00,24, 1114
15, 8389552.00, 0.00, 8388608.00,24, 1207
16, 8389368.00, 0.00, 8388608.00,24, 1300
17, 8389191.00, 0.00, 8388608.00,24, 1393
18, 8388865.00, 0.00, 8388608.00,24, 1486
19, 8388628.00, 0.00, 8388608.00,24, 1579
20, 8388527.00, 0.00, 8388608.00,24, 1672
21, 8388315.00, 0.00, 8388608.00,24, 1765
22, 8387946.00, 0.00, 8388608.00,24, 1858
23, 8387763.00, 0.00, 8388608.00,24, 1950
24, 8387539.00, 0.00, 8388608.00,24, 2043
25, 8387449.00, 0.00, 8388608.00,24, 2136
26, 8387279.00, 0.00, 8388608.00,24, 2229
27, 8387028.00, 0.00, 8388608.00,24, 2322
28, 8386755.00, 0.00, 8388608.00,24, 2415
29, 8386702.00, 0.00, 8388608.00,24, 2508
30, 8386434.00, 0.00, 8388608.00,24, 2601
RECORDING Time: 8:37:30
RECORDING Time: 8:38:47
1, 8388164.00, 0.00, 8388608.00,24, 0
2, 8388998.00, 0.00, 8388608.00,24, 0
3, 8388995.00, 0.00, 8388608.00,24, 93
4, 8388946.00, 0.00, 8388608.00,24, 186
5, 8388955.00, 0.00, 8388608.00,24, 279
6, 8389038.00, 0.00, 8388608.00,24, 372
7, 8388663.00, 0.00, 8388608.00,24, 465
8, 8387559.00, 0.00, 8388608.00,24, 558
9, 8386553.00, 0.00, 8388608.00,24, 651
10, 8386155.00, 0.00, 8388608.00,24, 744
11, 8386136.00, 0.00, 8388608.00,24, 837
12, 8386136.00, 0.00, 8388608.00,24, 930
13, 8386311.00, 0.00, 8388608.00,24, 1023
14, 8386512.00, 0.00, 8388608.00,24, 1116
15, 8386572.00, 0.00, 8388608.00,24, 1209
16, 8386495.00, 0.00, 8388608.00,24, 1302
17, 8386514.00, 0.00, 8388608.00,24, 1395
18, 8386652.00, 0.00, 8388608.00,24, 1488
19, 8386779.00, 0.00, 8388608.00,24, 1581
20, 8386691.00, 0.00, 8388608.00,24, 1674
21, 8386785.00, 0.00, 8388608.00,24, 1767
22, 8386749.00, 0.00, 8388608.00,24, 1860
23, 8386675.00, 0.00, 8388608.00,24, 1953
24, 8386734.00, 0.00, 8388608.00,24, 2046
25, 8386762.00, 0.00, 8388608.00,24, 2138
26, 8386744.00, 0.00, 8388608.00,24, 2231
27, 8386760.00, 0.00, 8388608.00,24, 2324
28, 8386641.00, 0.00, 8388608.00,24, 2417
29, 8386659.00, 0.00, 8388608.00,24, 2510
30, 8386443.00, 0.00, 8388608.00,24, 2603
RECORDING Time: 8:38:50
