time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10
2019-12-20 16:35:20.732960,8361018.0,8407423.0,8329549.0,8397778.0,8247954.0,7588373.0,8399688.0,9226215.0,8881343.0,7895499.0
2019-12-20 16:35:20.847500,8375543.0,8404088.0,8308172.0,8395338.0,8218292.0,7588201.0,8400060.0,9226042.0,8881120.0,7895491.0
2019-12-20 16:35:20.962484,8378639.0,8402825.0,8223752.0,8394764.0,8192198.0,7588073.0,8400008.0,9225783.0,8881057.0,7895610.0
2019-12-20 16:35:21.077312,8380483.0,8408617.0,8173036.0,8393927.0,8175056.0,7587955.0,8399837.0,9225718.0,8880897.0,7895688.0
2019-12-20 16:35:21.195735,8381743.0,8412782.0,8136734.0,8393672.0,8157367.0,7587993.0,8399975.0,9225724.0,8880682.0,7895589.0
2019-12-20 16:35:21.309938,8382068.0,8412299.0,8112276.0,8393248.0,8157214.0,7587995.0,8399840.0,9225632.0,8880577.0,7895505.0
2019-12-20 16:35:21.425196,8382058.0,8409758.0,8090263.0,8393337.0,8430598.0,7587872.0,8400119.0,9225549.0,8880415.0,7895476.0
2019-12-20 16:35:21.539776,8379678.0,8409048.0,8149992.0,8393734.0,8436320.0,7583291.0,8400117.0,9225414.0,8880242.0,7895374.0
2019-12-20 16:35:21.653874,8340281.0,8407078.0,8282993.0,8398569.0,8416920.0,7582489.0,8400217.0,9225562.0,8880142.0,7895366.0
2019-12-20 16:35:21.773366,8233449.0,8420276.0,8103343.0,8408894.0,8072807.0,7582618.0,8400399.0,9225907.0,8879952.0,7895240.0
2019-12-20 16:35:21.887313,8281305.0,8416144.0,7807554.0,8401819.0,7794001.0,7582692.0,8399163.0,9225678.0,8879906.0,7895127.0
2019-12-20 16:35:22.002357,8372951.0,8398932.0,6778254.0,8391090.0,7794834.0,7582640.0,8399976.0,9225558.0,8880069.0,7895110.0
2019-12-20 16:35:22.117425,8345441.0,8391565.0,7097065.0,8391373.0,8463300.0,7582542.0,8400347.0,9225524.0,8879924.0,7895188.0
2019-12-20 16:35:22.232071,8284068.0,8410638.0,7506577.0,8405260.0,8439972.0,7582552.0,8400722.0,9225894.0,8879577.0,7895112.0
2019-12-20 16:35:22.350605,8222420.0,8422857.0,8155976.0,8409437.0,8454715.0,7582641.0,8399817.0,9225927.0,8879496.0,7894970.0
2019-12-20 16:35:22.465536,8280737.0,8414986.0,8188779.0,8404946.0,8435711.0,7582692.0,8399830.0,9225996.0,8879494.0,7894995.0
2019-12-20 16:35:22.580258,8322502.0,8409269.0,8247088.0,8405225.0,8390240.0,7582608.0,8399717.0,9226004.0,8879463.0,7894942.0
2019-12-20 16:35:22.694291,8351860.0,8405630.0,8350098.0,8398000.0,7856342.0,7582652.0,8399995.0,9225684.0,8879385.0,7894955.0
2019-12-20 16:35:22.809599,8363407.0,8403179.0,8186014.0,8394606.0,8416370.0,7582519.0,8399790.0,9225526.0,8879206.0,7894918.0
2019-12-20 16:35:22.928358,8326781.0,8400858.0,8151143.0,8393446.0,8453557.0,7582470.0,8400171.0,9225457.0,8879020.0,7894882.0
2019-12-20 16:35:23.042478,8298151.0,8415610.0,8250522.0,8399472.0,8449737.0,7582576.0,8400324.0,9225730.0,8878910.0,7894807.0
2019-12-20 16:35:23.157709,8238472.0,8421573.0,8097030.0,8410016.0,8456148.0,7582647.0,8399744.0,9225918.0,8878791.0,7894806.0
2019-12-20 16:35:23.272019,8253981.0,8419206.0,8092831.0,8408741.0,8457143.0,7582543.0,8399765.0,9225958.0,8878751.0,7894816.0
2019-12-20 16:35:23.387191,8200539.0,8424027.0,7965368.0,8411885.0,8450069.0,7582530.0,8399721.0,9226037.0,8878593.0,7894876.0
2019-12-20 16:35:23.505660,8245575.0,8425229.0,8049568.0,8411382.0,8438019.0,7582479.0,8399474.0,9226027.0,8878523.0,7894928.0
2019-12-20 16:35:23.619888,8290910.0,8412751.0,8202611.0,8403175.0,8250394.0,7582480.0,8399610.0,9225797.0,8878467.0,7894870.0
2019-12-20 16:35:23.735208,8327495.0,8405182.0,8133783.0,8396163.0,8249411.0,7582299.0,8399428.0,9225425.0,8878436.0,7894825.0
2019-12-20 16:35:23.849424,8350133.0,8399678.0,7701382.0,8391219.0,8420568.0,7582251.0,8399826.0,9225229.0,8878388.0,7894999.0
2019-12-20 16:35:23.964164,8351091.0,8408426.0,8030181.0,8395248.0,8363011.0,7582162.0,8400299.0,9225371.0,8878316.0,7895151.0
2019-12-20 16:35:24.083059,8355357.0,8405122.0,8333262.0,8398192.0,8412470.0,7582043.0,8400015.0,9225321.0,8878150.0,7895134.0
2019-12-20 16:35:24.198084,8356933.0,8406277.0,8339685.0,8398398.0,8420837.0,7582055.0,8399938.0,9225320.0,8878065.0,7895131.0
2019-12-20 16:35:24.312413,8350503.0,8406101.0,8358243.0,8398341.0,8435906.0,7582077.0,8399811.0,9225123.0,8877948.0,7895131.0
2019-12-20 16:35:24.426485,8345597.0,8405919.0,8354464.0,8398751.0,8386323.0,7581998.0,8399924.0,9225424.0,8877798.0,7895148.0
2019-12-20 16:35:24.541511,8343785.0,8407116.0,8345302.0,8399556.0,8348456.0,7582108.0,8399667.0,9225337.0,8877794.0,7895105.0
2019-12-20 16:35:24.660799,8360764.0,8404592.0,8305061.0,8396067.0,8239131.0,7582008.0,8400101.0,9225229.0,8877770.0,7895080.0
2019-12-20 16:35:24.775503,8368300.0,8403973.0,8263231.0,8395794.0,8398997.0,7581920.0,8399981.0,9225359.0,8877619.0,7895088.0
2019-12-20 16:35:24.889708,8353861.0,8404365.0,8233752.0,8397211.0,8463929.0,7581838.0,8400079.0,9225268.0,8877563.0,7895033.0
2019-12-20 16:35:25.004924,8336532.0,8406496.0,8311628.0,8399069.0,8465295.0,7581960.0,8400194.0,9225338.0,8877535.0,7894953.0
2019-12-20 16:35:25.119246,8219561.0,8432429.0,7825365.0,8408711.0,8470897.0,7582047.0,8399536.0,9225636.0,8877297.0,7894869.0
2019-12-20 16:35:25.238367,8171763.0,8430435.0,7880664.0,8415341.0,8449802.0,7582201.0,8399490.0,9225778.0,8877206.0,7894838.0
2019-12-20 16:35:25.352712,8166465.0,8431962.0,7836541.0,8415507.0,8453379.0,7582138.0,8399401.0,9225585.0,8877228.0,7894799.0
2019-12-20 16:35:25.467685,8244623.0,8422035.0,8051517.0,8409169.0,8451241.0,7582084.0,8399544.0,9225494.0,8877218.0,7894780.0
2019-12-20 16:35:25.581635,8258653.0,8417686.0,8149131.0,8407815.0,8454012.0,7582105.0,8399777.0,9225540.0,8877141.0,7894753.0
2019-12-20 16:35:25.696808,8264952.0,8417517.0,8151554.0,8407306.0,8449766.0,7581984.0,8399763.0,9225476.0,8877142.0,7894815.0
2019-12-20 16:35:25.815835,8268940.0,8416891.0,8162719.0,8407210.0,8451942.0,7581983.0,8399750.0,9225392.0,8877184.0,7894883.0
2019-12-20 16:35:25.930207,8269548.0,8416836.0,8167111.0,8407172.0,8452707.0,7581987.0,8399805.0,9225356.0,8877177.0,7894925.0
2019-12-20 16:35:26.045367,8271672.0,8416642.0,8188607.0,8406315.0,8337019.0,7581895.0,8399783.0,9225301.0,8877111.0,7894968.0
2019-12-20 16:35:26.159502,8296097.0,8413548.0,8206616.0,8403286.0,8455124.0,7581954.0,8399522.0,9225271.0,8877115.0,7894946.0
2019-12-20 16:35:26.274487,8278988.0,8415662.0,8184596.0,8405924.0,8449498.0,7581991.0,8399780.0,9225330.0,8877097.0,7894940.0
2019-12-20 16:35:26.392481,8260435.0,8418059.0,8126610.0,8407083.0,8454589.0,7581933.0,8399695.0,9225331.0,8877033.0,7894880.0
2019-12-20 16:35:26.507471,8270027.0,8416538.0,8170246.0,8406439.0,8451983.0,7581912.0,8399710.0,9225323.0,8876976.0,7894958.0
2019-12-20 16:35:26.622692,8264227.0,8417658.0,8152435.0,8406849.0,8450666.0,7581858.0,8399750.0,9225202.0,8876988.0,7894996.0
2019-12-20 16:35:26.736561,8262881.0,8417741.0,8146858.0,8407314.0,8445644.0,7581885.0,8399693.0,9225232.0,8876950.0,7894912.0
2019-12-20 16:35:26.852151,8272220.0,8416408.0,8206197.0,8406301.0,8451997.0,7581780.0,8399667.0,9225174.0,8877034.0,7894986.0
2019-12-20 16:35:26.969821,8282928.0,8414790.0,8210568.0,8405629.0,8450961.0,7581678.0,8399652.0,9225045.0,8876999.0,7895001.0
2019-12-20 16:35:27.085428,8269319.0,8417322.0,8172690.0,8406314.0,8446782.0,7581639.0,8399757.0,9225040.0,8876907.0,7894977.0
2019-12-20 16:35:27.199963,8259358.0,8418148.0,8139315.0,8407323.0,8447208.0,7581670.0,8399730.0,9225041.0,8876872.0,7894966.0
2019-12-20 16:35:27.314342,8276019.0,8415262.0,8216608.0,8405351.0,8446791.0,7581759.0,8399751.0,9225040.0,8876923.0,7894959.0
2019-12-20 16:35:27.429039,8290272.0,8414460.0,8223894.0,8405357.0,8448840.0,7581781.0,8399677.0,9225059.0,8876970.0,7895000.0
2019-12-20 16:35:27.547880,8292829.0,8413821.0,8233865.0,8404926.0,8449387.0,7581733.0,8399711.0,9224895.0,8876844.0,7894991.0
2019-12-20 16:35:27.663131,8289522.0,8414303.0,8225602.0,8405401.0,8446711.0,7581684.0,8399968.0,9224926.0,8876740.0,7895064.0
2019-12-20 16:35:27.777218,8289295.0,8414234.0,8220442.0,8405496.0,8449159.0,7581617.0,8399757.0,9225021.0,8876671.0,7895083.0
2019-12-20 16:35:27.892339,8280077.0,8414879.0,8200563.0,8405770.0,8460192.0,7581516.0,8399887.0,9224986.0,8876650.0,7895029.0
2019-12-20 16:35:28.006667,8258185.0,8416218.0,8151194.0,8406819.0,8457508.0,7581498.0,8399890.0,9225155.0,8876650.0,7895016.0
2019-12-20 16:35:28.125846,8220757.0,8424130.0,8032818.0,8410194.0,8461764.0,7581531.0,8399702.0,9225149.0,8876655.0,7895029.0
2019-12-20 16:35:28.240487,8209431.0,8426965.0,7932961.0,8413167.0,8458567.0,7581536.0,8399639.0,9225085.0,8876569.0,7894949.0
2019-12-20 16:35:28.355231,8198553.0,8427894.0,7946495.0,8413421.0,8459148.0,7581465.0,8399534.0,9225090.0,8876537.0,7895002.0
2019-12-20 16:35:28.469480,8214441.0,8425062.0,8001515.0,8411697.0,8456962.0,7581417.0,8399763.0,9225087.0,8876170.0,7895121.0
2019-12-20 16:35:28.584468,8213559.0,8423337.0,7999025.0,8411407.0,8456501.0,7580655.0,8399893.0,9225024.0,8876089.0,7895220.0
2019-12-20 16:35:28.702737,8226793.0,8421505.0,8073662.0,8409140.0,8446072.0,7580791.0,8399934.0,9224987.0,8876265.0,7895153.0
2019-12-20 16:35:28.818040,8292070.0,8416129.0,8208873.0,8404915.0,8447122.0,7580316.0,8399732.0,9226400.0,8876002.0,7895232.0
2019-12-20 16:35:28.932317,8299964.0,8412394.0,8257456.0,8403696.0,8449915.0,7579662.0,8399900.0,9225541.0,8875805.0,7895420.0
2019-12-20 16:35:29.047146,8286877.0,8414167.0,8220553.0,8405336.0,8447825.0,7580675.0,8399700.0,9224224.0,8876667.0,7895152.0
2019-12-20 16:35:29.162234,8290377.0,8414326.0,8222437.0,8405059.0,8440342.0,7582067.0,8399699.0,9223652.0,8877401.0,7894962.0
2019-12-20 16:35:29.280448,8303352.0,8412851.0,8256851.0,8403846.0,8425977.0,7582357.0,8399872.0,9223122.0,8878272.0,7894805.0
2019-12-20 16:35:29.395520,8323047.0,8410262.0,8304180.0,8401731.0,8388766.0,7582677.0,8399831.0,9222986.0,8878468.0,7894691.0
2019-12-20 16:35:29.509608,8345787.0,8406935.0,8348745.0,8399134.0,8435833.0,7583062.0,8399904.0,9223064.0,8878967.0,7894456.0
2019-12-20 16:35:29.624215,8342701.0,8406605.0,8346123.0,8398222.0,8433127.0,7584253.0,8400187.0,9223308.0,8879620.0,7894130.0
2019-12-20 16:35:29.739329,8340475.0,8407193.0,8346225.0,8399901.0,8432020.0,7584714.0,8400009.0,9222168.0,8879879.0,7893949.0
2019-12-20 16:35:29.858171,8338103.0,8407396.0,8344502.0,8400015.0,8100595.0,7584599.0,8399716.0,9221431.0,8880081.0,7894009.0
2019-12-20 16:35:29.972465,8351619.0,8405728.0,8330016.0,8397816.0,8419495.0,7586065.0,8399747.0,9220923.0,8881019.0,7893590.0
2019-12-20 16:35:30.087906,8360680.0,8403919.0,8231945.0,8395235.0,7978623.0,7587159.0,8400062.0,9220578.0,8881926.0,7893017.0
2019-12-20 16:35:30.202573,8375541.0,8401446.0,8058340.0,8392592.0,8355615.0,7587575.0,8399700.0,9219995.0,8882269.0,7892977.0
2019-12-20 16:35:30.316991,8378458.0,8405463.0,7855530.0,8393099.0,8434403.0,7587974.0,8399990.0,9219128.0,8882443.0,7893111.0
