Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
1, 1865046.00, 8966941.00, 8492393.00,26, 0
2, 1864813.00, 8966917.00, 8492376.00,26, 0
3, 1864867.00, 8966962.00, 8492516.00,26, 104
4, 1864716.00, 8966987.00, 8492487.00,26, 209
5, 1864640.00, 8966993.00, 8492465.00,26, 313
6, 1864854.00, 8967020.00, 8492496.00,26, 418
7, 1864872.00, 8966995.00, 8492528.00,26, 522
8, 1864847.00, 8966949.00, 8492560.00,26, 627
9, 1864763.00, 8966971.00, 8492373.00,26, 731
10, 1864678.00, 8966928.00, 8492243.00,26, 836
11, 1864631.00, 8966838.00, 8492543.00,26, 940
12, 1864547.00, 8966792.00, 8492700.00,26, 1045
13, 1864437.00, 8966683.00, 8492310.00,26, 1149
14, 1864362.00, 8966597.00, 8492210.00,26, 1254
15, 1864301.00, 8966525.00, 8492662.00,26, 1358
16, 1864255.00, 8966525.00, 8492628.00,26, 1463
17, 1864177.00, 8966500.00, 8492581.00,26, 1567
18, 1864141.00, 8966483.00, 8492572.00,26, 1672
19, 1864165.00, 8966501.00, 8492529.00,26, 1776
20, 1864107.00, 8966464.00, 8492237.00,26, 1881
21, 1864052.00, 8966407.00, 8492264.00,26, 1985
22, 1863929.00, 8966398.00, 8492438.00,26, 2090
23, 1863913.00, 8966332.00, 8492553.00,26, 2194
24, 1863925.00, 8966285.00, 8492548.00,26, 2299
25, 1863826.00, 8966280.00, 8492507.00,26, 2403
26, 1863811.00, 8966245.00, 8492446.00,26, 2508
27, 1863785.00, 8966171.00, 8492496.00,26, 2612
28, 1863791.00, 8966066.00, 8492470.00,26, 2717
29, 1863825.00, 8965805.00, 8492315.00,26, 2821
30, 1863724.00, 8965836.00, 8492526.00,26, 2926
31, 1863683.00, 8965884.00, 8492553.00,26, 3030
32, 1863698.00, 8965878.00, 8492388.00,26, 3135
33, 1863658.00, 8965855.00, 8492573.00,26, 3239
34, 1863567.00, 8965850.00, 8492514.00,26, 3343
35, 1863489.00, 8965807.00, 8492551.00,26, 3448
36, 1863500.00, 8965792.00, 8492314.00,26, 3552
37, 1863509.00, 8965708.00, 8492313.00,26, 3657
38, 1863518.00, 8965731.00, 8492264.00,26, 3761
