Date: 20.2.2020 , In use by: Mena
Daytime: 11:21:7, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:21:20
1, 1785342.00, 9729483.00, 8492827.00,25, 0
2, 1785328.00, 9729541.00, 8492742.00,25, 0
3, 1785057.00, 9729366.00, 8492808.00,25, 105
4, 1785050.00, 9729112.00, 8492816.00,25, 209
5, 1784890.00, 9728898.00, 8492853.00,25, 314
6, 1784774.00, 9728763.00, 8492862.00,25, 418
7, 1784656.00, 9728665.00, 8492765.00,25, 523
8, 1784550.00, 9728576.00, 8492673.00,25, 628
9, 1784421.00, 9728454.00, 8492706.00,25, 732
10, 1784153.00, 9728262.00, 8492828.00,25, 837
11, 1783929.00, 9728227.00, 8492756.00,25, 941
12, 1783769.00, 9728090.00, 8492896.00,25, 1046
13, 1783594.00, 9727752.00, 8492843.00,25, 1150
14, 1783344.00, 9727565.00, 8492881.00,25, 1255
15, 1783154.00, 9727392.00, 8492860.00,25, 1360
16, 1783035.00, 9727347.00, 8492883.00,25, 1464
17, 1782875.00, 9727231.00, 8492778.00,25, 1569
18, 1782746.00, 9727057.00, 8492819.00,25, 1673
19, 1782629.00, 9726924.00, 8492803.00,25, 1778
20, 1782500.00, 9726818.00, 8492905.00,25, 1882
21, 1782327.00, 9726556.00, 8492935.00,25, 1987
22, 1782188.00, 9726417.00, 8492864.00,25, 2092
23, 1782069.00, 9726354.00, 8492782.00,25, 2196
24, 1781902.00, 9726284.00, 8492818.00,25, 2301
25, 1781758.00, 9726136.00, 8492871.00,25, 2405
26, 1781611.00, 9726015.00, 8492833.00,25, 2510
27, 1781492.00, 9725891.00, 8492845.00,25, 2614
28, 1781383.00, 9725802.00, 8492902.00,25, 2719
29, 1781250.00, 9725626.00, 8492852.00,25, 2824
30, 1781109.00, 9725489.00, 8492887.00,25, 2928
31, 1781008.00, 9725328.00, 8492847.00,25, 3033
32, 1780868.00, 9725148.00, 8492794.00,25, 3137
33, 1780707.00, 9725095.00, 8492696.00,25, 3242
34, 1780534.00, 9724911.00, 8492738.00,25, 3346
35, 1780414.00, 9724867.00, 8492764.00,25, 3451
36, 1780335.00, 9724748.00, 8492815.00,25, 3556
37, 1780220.00, 9724483.00, 8492866.00,25, 3660
38, 1780109.00, 9724397.00, 8492847.00,25, 3765
39, 1779932.00, 9724339.00, 8492807.00,25, 3869
40, 1779744.00, 9724227.00, 8492780.00,25, 3974
41, 1779648.00, 9724143.00, 8492854.00,25, 4078
42, 1779504.00, 9724076.00, 8492884.00,25, 4183
43, 1779411.00, 9723951.00, 8492902.00,25, 4288
44, 1779324.00, 9723806.00, 8492947.00,25, 4392
45, 1779211.00, 9723608.00, 8492681.00,25, 4497
