Date: 20.2.2020 , In use by: Mena
Daytime: 11:49:15, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:49:23
1, 1816697.00, 9719685.00, 8492612.00,25, 0
2, 1816366.00, 9719432.00, 8492656.00,25, 0
3, 1815963.00, 9719341.00, 8492518.00,25, 104
4, 1815735.00, 9719169.00, 8492407.00,25, 209
5, 1815612.00, 9718967.00, 8492244.00,25, 313
6, 1815431.00, 9718735.00, 8492384.00,25, 418
7, 1815120.00, 9718554.00, 8492243.00,25, 522
8, 1814848.00, 9718343.00, 8492432.00,25, 627
9, 1814617.00, 9718100.00, 8492604.00,25, 731
10, 1814319.00, 9717593.00, 8492471.00,25, 836
11, 1814083.00, 9717386.00, 8492408.00,25, 940
12, 1813857.00, 9717180.00, 8492338.00,25, 1045
13, 1813543.00, 9717015.00, 8492587.00,25, 1149
14, 1813264.00, 9716773.00, 8492523.00,25, 1254
15, 1813043.00, 9716574.00, 8492670.00,25, 1359
16, 1812887.00, 9716472.00, 8492616.00,25, 1463
17, 1812609.00, 9716307.00, 8492424.00,25, 1568
18, 1812373.00, 9715875.00, 8492598.00,25, 1672
19, 1812074.00, 9715653.00, 8492512.00,25, 1777
20, 1811863.00, 9715487.00, 8492446.00,25, 1881
21, 1811692.00, 9715386.00, 8492536.00,25, 1986
22, 1811523.00, 9715179.00, 8492435.00,25, 2090
23, 1811283.00, 9714990.00, 8492499.00,25, 2195
24, 1811068.00, 9714808.00, 8492554.00,25, 2299
25, 1810814.00, 9714648.00, 8492653.00,25, 2404
26, 1810612.00, 9714373.00, 8492751.00,25, 2508
27, 1810383.00, 9714144.00, 8492928.00,25, 2613
28, 1810138.00, 9714008.00, 8492885.00,25, 2717
29, 1810031.00, 9713888.00, 8492758.00,25, 2822
30, 1809818.00, 9713759.00, 8492317.00,25, 2927
31, 1809616.00, 9713590.00, 8492187.00,25, 3031
32, 1809425.00, 9713490.00, 8492486.00,25, 3136
33, 1809189.00, 9713287.00, 8492681.00,25, 3240
34, 1808999.00, 9712981.00, 8492526.00,25, 3345
35, 1808772.00, 9712831.00, 8492689.00,25, 3449
36, 1808523.00, 9712654.00, 8492740.00,25, 3554
37, 1808353.00, 9712541.00, 8492521.00,25, 3658
38, 1808182.00, 9712438.00, 8492504.00,25, 3763
39, 1808016.00, 9712248.00, 8492582.00,25, 3867
