Date: 28.2.2020 , In use by: Mena
Daytime: 15:5:57, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:6:2
1, 0.00, 0.00, 9055619.00, 13, 0
2, 0.00, 0.00, 9053980.00, 13, 0
3, 0.00, 0.00, 9048797.00, 13, 104
4, 0.00, 0.00, 9037273.00, 13, 208
5, 0.00, 0.00, 9030995.00, 13, 312
6, 0.00, 0.00, 9031277.00, 13, 415
7, 0.00, 0.00, 9030927.00, 13, 519
8, 0.00, 0.00, 9030519.00, 13, 623
9, 0.00, 0.00, 9030763.00, 13, 727
10, 0.00, 0.00, 9030519.00, 13, 831
11, 0.00, 0.00, 9029975.00, 13, 934
12, 0.00, 0.00, 9029707.00, 13, 1038
13, 0.00, 0.00, 9029459.00, 13, 1142
14, 0.00, 0.00, 9029095.00, 13, 1246
15, 0.00, 0.00, 9028651.00, 13, 1349
16, 0.00, 0.00, 9028074.00, 13, 1453
17, 0.00, 0.00, 9027583.00, 13, 1557
18, 0.00, 0.00, 9026757.00, 13, 1661
19, 0.00, 0.00, 9026597.00, 13, 1765
20, 0.00, 0.00, 9026377.00, 13, 1868
21, 0.00, 0.00, 9025988.00, 13, 1972
22, 0.00, 0.00, 9025600.00, 13, 2076
23, 0.00, 0.00, 9025215.00, 13, 2180
24, 0.00, 0.00, 9024774.00, 13, 2283
25, 0.00, 0.00, 9024232.00, 13, 2387
26, 0.00, 0.00, 9023714.00, 13, 2491
27, 0.00, 0.00, 9023235.00, 13, 2595
28, 0.00, 0.00, 9022849.00, 13, 2699
29, 0.00, 0.00, 9022033.00, 13, 2802
30, 0.00, 0.00, 9021796.00, 13, 2906
31, 0.00, 0.00, 9021592.00, 13, 3010
32, 0.00, 0.00, 9021403.00, 13, 3114
33, 0.00, 0.00, 9021074.00, 13, 3217
34, 0.00, 0.00, 9020769.00, 13, 3321
35, 0.00, 0.00, 9020374.00, 13, 3425
36, 0.00, 0.00, 9019982.00, 13, 3529
37, 0.00, 0.00, 9019614.00, 13, 3632
38, 0.00, 0.00, 9019231.00, 13, 3736
39, 0.00, 0.00, 9018806.00, 13, 3840
40, 0.00, 0.00, 9018466.00, 13, 3944
41, 0.00, 0.00, 9018012.00, 13, 4048
42, 0.00, 0.00, 9017685.00, 13, 4151
43, 0.00, 0.00, 9017428.00, 13, 4255
44, 0.00, 0.00, 9017191.00, 13, 4359
45, 0.00, 0.00, 9016846.00, 13, 4463
46, 0.00, 0.00, 9016449.00, 13, 4566
47, 0.00, 0.00, 9016107.00, 13, 4670
48, 0.00, 0.00, 9015728.00, 13, 4774
49, 0.00, 0.00, 9015458.00, 13, 4878
50, 0.00, 0.00, 9015100.00, 13, 4981
51, 0.00, 0.00, 9014692.00, 13, 5085
52, 0.00, 0.00, 9014317.00, 13, 5189
53, 0.00, 0.00, 9013794.00, 13, 5293
54, 0.00, 0.00, 9013625.00, 13, 5396
55, 0.00, 0.00, 9013409.00, 13, 5500
56, 0.00, 0.00, 9013185.00, 13, 5604
57, 0.00, 0.00, 9012857.00, 13, 5708
58, 0.00, 0.00, 9012663.00, 13, 5812
59, 0.00, 0.00, 9012488.00, 13, 5915
60, 0.00, 0.00, 9012295.00, 13, 6019
61, 0.00, 0.00, 9012147.00, 13, 6123
62, 0.00, 0.00, 9011951.00, 13, 6227
63, 0.00, 0.00, 9011713.00, 13, 6330
64, 0.00, 0.00, 9011532.00, 13, 6434
65, 0.00, 0.00, 9011055.00, 13, 6538
66, 0.00, 0.00, 9010828.00, 13, 6642
67, 0.00, 0.00, 9010555.00, 13, 6745
68, 0.00, 0.00, 9010309.00, 13, 6849
69, 0.00, 0.00, 9010057.00, 13, 6953
70, 0.00, 0.00, 9009803.00, 13, 7057
71, 0.00, 0.00, 9009460.00, 13, 7161
72, 0.00, 0.00, 9009159.00, 13, 7264
73, 0.00, 0.00, 9008919.00, 13, 7368
74, 0.00, 0.00, 9008701.00, 13, 7472
75, 0.00, 0.00, 9008444.00, 13, 7576
76, 0.00, 0.00, 9007830.00, 13, 7679
77, 0.00, 0.00, 9007566.00, 13, 7783
78, 0.00, 0.00, 9007344.00, 13, 7887
79, 0.00, 0.00, 9007078.00, 13, 7991
80, 0.00, 0.00, 9006838.00, 13, 8094
81, 0.00, 0.00, 9006587.00, 13, 8198
82, 0.00, 0.00, 9006271.00, 13, 8302
83, 0.00, 0.00, 9005961.00, 13, 8406
84, 0.00, 0.00, 9005701.00, 13, 8510
85, 0.00, 0.00, 9005437.00, 13, 8613
86, 0.00, 0.00, 9005178.00, 13, 8717
87, 0.00, 0.00, 9004907.00, 13, 8821
88, 0.00, 0.00, 9004315.00, 13, 8925
89, 0.00, 0.00, 9003941.00, 13, 9028
90, 0.00, 0.00, 9003597.00, 13, 9132
91, 0.00, 0.00, 9003258.00, 13, 9236
92, 0.00, 0.00, 9002885.00, 13, 9340
93, 0.00, 0.00, 9002567.00, 13, 9443
94, 0.00, 0.00, 9002317.00, 13, 9547
95, 0.00, 0.00, 9002084.00, 13, 9651
96, 0.00, 0.00, 9001775.00, 13, 9755
97, 0.00, 0.00, 9001478.00, 13, 9859
98, 0.00, 0.00, 9001181.00, 13, 9962
99, 0.00, 0.00, 9000924.00, 13, 10066
100, 0.00, 0.00, 9000459.00, 13, 10170
101, 0.00, 0.00, 9000126.00, 13, 10274
102, 0.00, 0.00, 8999837.00, 13, 10377
103, 0.00, 0.00, 8999440.00, 13, 10481
104, 0.00, 0.00, 8999159.00, 13, 10585
105, 0.00, 0.00, 8998832.00, 13, 10689
106, 0.00, 0.00, 8998482.00, 13, 10793
107, 0.00, 0.00, 8998148.00, 13, 10896
108, 0.00, 0.00, 8997860.00, 13, 11000
109, 0.00, 0.00, 8997552.00, 13, 11104
110, 0.00, 0.00, 8997223.00, 13, 11208
111, 0.00, 0.00, 8996519.00, 13, 11311
112, 0.00, 0.00, 8996209.00, 13, 11415
