Date: 28.2.2020 , In use by: Mena
Daytime: 14:57:43, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 14:58:44
1, 0.00, 0.00, 7582751.00, 13, 0
2, 0.00, 0.00, 7583383.00, 13, 0
3, 0.00, 0.00, 7585206.00, 13, 103
4, 0.00, 0.00, 7588122.00, 13, 207
5, 0.00, 0.00, 7587694.00, 13, 311
6, 0.00, 0.00, 7585253.00, 13, 415
7, 0.00, 0.00, 7584976.00, 13, 518
8, 0.00, 0.00, 7585161.00, 13, 622
9, 0.00, 0.00, 7585256.00, 13, 726
10, 0.00, 0.00, 7585287.00, 13, 830
11, 0.00, 0.00, 7585454.00, 13, 934
12, 0.00, 0.00, 7585496.00, 13, 1037
13, 0.00, 0.00, 7585433.00, 13, 1141
14, 0.00, 0.00, 7585458.00, 13, 1245
15, 0.00, 0.00, 7585452.00, 13, 1349
16, 0.00, 0.00, 7585439.00, 13, 1453
17, 0.00, 0.00, 7585390.00, 13, 1556
18, 0.00, 0.00, 7585290.00, 13, 1660
19, 0.00, 0.00, 7585251.00, 13, 1764
20, 0.00, 0.00, 7585340.00, 13, 1868
21, 0.00, 0.00, 7585299.00, 13, 1972
22, 0.00, 0.00, 7585249.00, 13, 2075
23, 0.00, 0.00, 7585306.00, 13, 2179
24, 0.00, 0.00, 7585293.00, 13, 2283
25, 0.00, 0.00, 7585144.00, 13, 2387
26, 0.00, 0.00, 7584936.00, 13, 2491
27, 0.00, 0.00, 7584658.00, 13, 2594
28, 0.00, 0.00, 7584456.00, 13, 2698
29, 0.00, 0.00, 7584268.00, 13, 2802
30, 0.00, 0.00, 7584056.00, 13, 2906
31, 0.00, 0.00, 7583723.00, 13, 3010
32, 0.00, 0.00, 7583609.00, 13, 3113
33, 0.00, 0.00, 7583506.00, 13, 3217
34, 0.00, 0.00, 7583351.00, 13, 3321
35, 0.00, 0.00, 7583216.00, 13, 3425
36, 0.00, 0.00, 7583010.00, 13, 3529
37, 0.00, 0.00, 7582868.00, 13, 3632
38, 0.00, 0.00, 7582870.00, 13, 3736
39, 0.00, 0.00, 7582931.00, 13, 3840
40, 0.00, 0.00, 7582863.00, 13, 3944
41, 0.00, 0.00, 7582789.00, 13, 4048
42, 0.00, 0.00, 7582737.00, 13, 4151
43, 0.00, 0.00, 7582724.00, 13, 4255
44, 0.00, 0.00, 7582758.00, 13, 4359
45, 0.00, 0.00, 7582846.00, 13, 4463
46, 0.00, 0.00, 7583023.00, 13, 4567
47, 0.00, 0.00, 7583284.00, 13, 4670
48, 0.00, 0.00, 7583537.00, 13, 4774
49, 0.00, 0.00, 7583761.00, 13, 4878
50, 0.00, 0.00, 7583877.00, 13, 4982
51, 0.00, 0.00, 7583850.00, 13, 5086
52, 0.00, 0.00, 7583824.00, 13, 5189
53, 0.00, 0.00, 7583721.00, 13, 5293
54, 0.00, 0.00, 7583390.00, 13, 5397
55, 0.00, 0.00, 7583204.00, 13, 5501
56, 0.00, 0.00, 7582991.00, 13, 5604
57, 0.00, 0.00, 7582778.00, 13, 5708
58, 0.00, 0.00, 7582586.00, 13, 5812
59, 0.00, 0.00, 7582457.00, 13, 5916
60, 0.00, 0.00, 7582443.00, 13, 6020
61, 0.00, 0.00, 7582399.00, 13, 6123
62, 0.00, 0.00, 7582332.00, 13, 6227
63, 0.00, 0.00, 7582261.00, 13, 6331
64, 0.00, 0.00, 7582275.00, 13, 6435
65, 0.00, 0.00, 7582273.00, 13, 6539
66, 0.00, 0.00, 7582251.00, 13, 6642
67, 0.00, 0.00, 7582254.00, 13, 6746
68, 0.00, 0.00, 7582265.00, 13, 6850
69, 0.00, 0.00, 7582187.00, 13, 6954
70, 0.00, 0.00, 7582161.00, 13, 7057
71, 0.00, 0.00, 7582157.00, 13, 7161
72, 0.00, 0.00, 7582124.00, 13, 7265
73, 0.00, 0.00, 7582099.00, 13, 7369
74, 0.00, 0.00, 7582061.00, 13, 7473
75, 0.00, 0.00, 7582028.00, 13, 7576
76, 0.00, 0.00, 7581954.00, 13, 7680
77, 0.00, 0.00, 7581846.00, 13, 7784
78, 0.00, 0.00, 7581803.00, 13, 7888
79, 0.00, 0.00, 7581911.00, 13, 7992
80, 0.00, 0.00, 7581911.00, 13, 8095
81, 0.00, 0.00, 7582062.00, 13, 8199
82, 0.00, 0.00, 7582221.00, 13, 8303
83, 0.00, 0.00, 7582250.00, 13, 8407
84, 0.00, 0.00, 7582235.00, 13, 8511
85, 0.00, 0.00, 7582306.00, 13, 8614
86, 0.00, 0.00, 7582327.00, 13, 8718
87, 0.00, 0.00, 7582335.00, 13, 8822
88, 0.00, 0.00, 7582156.00, 13, 8926
89, 0.00, 0.00, 7581926.00, 13, 9029
