Date: 27.3.2020 , In use by: Mena
Daytime: 10:59:44, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:59:49
1, 16777215.00, 6325357.00, 8397930.00, 5646607.00, 7850935.00, 16777215.00, 25, 0
2, 16777215.00, 6325520.00, 8398095.00, 5647096.00, 7850015.00, 16777215.00, 25, 0
3, 16777215.00, 6326187.00, 8398001.00, 5647788.00, 7852983.00, 16777215.00, 25, 272
4, 16777215.00, 6326325.00, 8398131.00, 5648043.00, 7857593.00, 16777215.00, 25, 544
5, 16777215.00, 6327519.00, 8398169.00, 5648986.00, 7862513.00, 16777215.00, 25, 817
6, 16777215.00, 6327235.00, 8398089.00, 5648551.00, 7860612.00, 16777215.00, 25, 998
7, 16777215.00, 6328241.00, 8397994.00, 5649366.00, 7868902.00, 16777215.00, 25, 1270
8, 16777215.00, 6327563.00, 8397942.00, 5647619.00, 7861966.00, 16777215.00, 25, 1542
9, 16777215.00, 6327428.00, 8398059.00, 5647182.00, 7861642.00, 16777215.00, 25, 1905
10, 16777215.00, 6327394.00, 8398078.00, 5647771.00, 7864811.00, 16777215.00, 25, 2268
11, 16777215.00, 6328332.00, 8398001.00, 5647328.00, 7868402.00, 16777215.00, 25, 2450
12, 16777215.00, 6328096.00, 8398142.00, 5647706.00, 7868197.00, 16777215.00, 25, 2722
13, 16777215.00, 6328004.00, 8397973.00, 5646905.00, 7866490.00, 16777215.00, 25, 2903
14, 16777215.00, 6328230.00, 8398038.00, 5646875.00, 7866325.00, 16777215.00, 25, 3266
15, 16777215.00, 6328031.00, 8398001.00, 5647254.00, 7868351.00, 16777215.00, 25, 3538
16, 16777215.00, 6328139.00, 8398034.00, 5647873.00, 7871835.00, 16777215.00, 25, 3810
17, 16777215.00, 6328530.00, 8398120.00, 5648110.00, 7873483.00, 16777215.00, 25, 4173
18, 16777215.00, 6329291.00, 8398141.00, 5646002.00, 7877671.00, 16777215.00, 25, 4445
19, 16777215.00, 6329411.00, 8397960.00, 5642746.00, 7866647.00, 16777215.00, 25, 4808
20, 16777215.00, 6329481.00, 8398016.00, 5644232.00, 7860032.00, 16777215.00, 25, 5081
21, 16777215.00, 6333913.00, 8398144.00, 5648395.00, 7872207.00, 16777215.00, 25, 5353
22, 16777215.00, 6333333.00, 8398129.00, 5647105.00, 7863823.00, 16777215.00, 25, 5625
23, 16777215.00, 6333528.00, 8397971.00, 5645733.00, 7869824.00, 16777215.00, 25, 5806
24, 16777215.00, 6335378.00, 8397910.00, 5641079.00, 7887892.00, 16777215.00, 25, 6079
25, 16777215.00, 6315873.00, 8397993.00, 5661355.00, 7891277.00, 16777215.00, 25, 6351
