Date: 28.2.2020 , In use by: Mena
Daytime: 15:29:51, Temperature: 20°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:29:52
1, 0.00, 6853368.00, 5453447.00, 20, 0
2, 0.00, 6852020.00, 5449714.00, 20, 0
3, 0.00, 6848094.00, 5446884.00, 20, 100
4, 0.00, 6844745.00, 5444902.00, 20, 199
5, 0.00, 6845094.00, 5443557.00, 20, 298
6, 0.00, 6844675.00, 5443141.00, 20, 398
7, 0.00, 6844320.00, 5443745.00, 20, 497
8, 0.00, 6843898.00, 5444330.00, 20, 597
9, 0.00, 6843243.00, 5443832.00, 20, 696
10, 0.00, 6842764.00, 5443661.00, 20, 796
11, 0.00, 6842180.00, 5443626.00, 20, 895
12, 0.00, 6841527.00, 5443465.00, 20, 994
13, 0.00, 6840875.00, 5443010.00, 20, 1094
14, 0.00, 6840212.00, 5442561.00, 20, 1193
15, 0.00, 6839680.00, 5442058.00, 20, 1293
16, 0.00, 6839105.00, 5441377.00, 20, 1392
17, 0.00, 6838591.00, 5440489.00, 20, 1491
18, 0.00, 6837939.00, 5439682.00, 20, 1591
19, 0.00, 6837225.00, 5438888.00, 20, 1690
20, 0.00, 6836591.00, 5438106.00, 20, 1790
21, 0.00, 6835995.00, 5437378.00, 20, 1889
22, 0.00, 6835371.00, 5436577.00, 20, 1988
23, 0.00, 6834795.00, 5435989.00, 20, 2088
24, 0.00, 6834122.00, 5435476.00, 20, 2187
25, 0.00, 6833589.00, 5434686.00, 20, 2287
26, 0.00, 6833173.00, 5434112.00, 20, 2386
27, 0.00, 6832600.00, 5433508.00, 20, 2485
28, 0.00, 6832191.00, 5432650.00, 20, 2585
29, 0.00, 6831732.00, 5432095.00, 20, 2684
30, 0.00, 6831194.00, 5431396.00, 20, 2784
31, 0.00, 6830712.00, 5430680.00, 20, 2883
32, 0.00, 6830327.00, 5430173.00, 20, 2982
33, 0.00, 6829930.00, 5429547.00, 20, 3082
